,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
128,KoalaMitWeed,"1,890","2,819",557,600,"6,921,313",742,36,"1,157",305h
129,Panix-XV,"31,846","22,686","4,210","2,019","89,115,139","12,671",362,"6,229","1,948h"
130,iCossack,"31,254","23,972","4,210","1,639","83,051,484","13,053",294,"5,849","1,825h"
131,Maaacster,"42,078","34,063","4,493","3,160","97,295,455","16,558",378,"7,653","2,369h"
132,OIivaEIvis,"27,283","24,189","2,918","2,491","77,230,651","11,645",530,"5,409","1,761h"
133,iiPatrik-,"21,551","21,292","2,391","2,098","55,818,158","8,280",744,"4,489","1,384h"
134,DanjeI-,"6,132","4,516",719,393,"15,990,935","2,292",41,"1,112",354h
135,FIouring,"51,691","35,783","6,510","2,924","135,781,730","16,129",449,"9,434","3,172h"
136,SteBrugnoLDX,"12,862","9,211","1,380",774,"29,562,230","4,994",73,"2,154",687h
137,Srainy64,"54,010","32,114","6,359","2,017","131,546,348","22,976",586,"8,376","2,907h"
138,Fyear,"60,512","43,075","8,785","3,186","164,636,930","25,895",710,"11,971","3,267h"
139,gokuandre,"20,049","17,144","2,515","1,426","51,596,171","6,838",326,"3,941","1,219h"
140,GIizzyK,"5,308","3,721",648,281,"13,288,762","2,009",47,929,297h
141,FraggerDNG,"14,243","7,936","1,483",491,"31,709,315","5,518",243,"1,974",662h
142,xLockness,"24,433","21,699","2,860","2,090","62,601,312","9,056",292,"4,950","1,568h"
143,MannyGunny,"33,257","24,187","4,145","2,806","94,783,546","10,792",501,"6,951","2,226h"
144,MoIlyK,"8,742","8,208","1,053",783,"25,470,267","3,315",117,"1,836",564h
145,IAveeXx,"34,773","24,585","5,170","2,186","85,928,625","12,481",758,"7,356","2,221h"
146,VaIerjo,"38,527","32,709","4,496","3,471","108,998,547","14,538",422,"7,967","2,655h"
147,Yatxs,"5,178","3,793",668,410,"15,524,920","1,699",51,"1,078",345h
148,Vexfa-,"23,081","18,138","2,385","1,739","57,748,406","9,375",475,"4,124","1,276h"
149,lGhostdog,"32,133","32,093","4,641","3,303","85,427,932","13,251",891,"7,944","2,287h"
150,iExTrEMaD,"34,833","27,515","3,427","2,565","93,389,580","13,552",823,"5,992","1,917h"
151,XiLxcas,"36,340","27,299","4,212","2,366","90,919,003","14,705",657,"6,578","2,067h"
152,FIooziii,"16,908","11,524","2,224","1,151","42,300,231","6,815",70,"3,375",965h
153,ywatt,"33,463","29,551","3,961","3,101","87,159,787","11,860",805,"7,062","2,133h"
154,Medeiiroosss-,"10,995","7,515","1,388",599,"27,069,631","4,169",150,"1,987",651h
155,CIovxr,"53,373","39,785","6,832","3,479","149,803,974","19,068",351,"10,311","3,111h"
156,FxtaIity-,"36,180","28,758","5,922","3,240","91,604,344","12,863","1,624","9,162","2,238h"
157,xavier22124,"32,988","26,742","3,833","2,620","87,448,117","12,857",591,"6,453","2,044h"
158,ATKCam,"24,310","11,150","3,514",877,"56,429,661","9,697",259,"4,391","1,287h"
159,WillyyOP,"10,535","6,556",988,637,"21,484,185","4,090",49,"1,625",518h
160,TIJO_420,"18,690","16,239","2,583","1,616","58,247,965","7,805",147,"4,199","1,284h"
161,T8-BOSS-,"23,615","18,223","3,035","1,776","67,435,739","7,859",273,"4,811","1,593h"
162,PiNGU_InVi,"61,689","45,336","9,948","4,384","164,079,568","24,486",967,"14,332","3,889h"
163,BBestXiM,"4,657","3,454",713,247,"12,951,212","1,713",126,960,274h
164,LongEon,"24,698","16,103","2,636","1,633","55,953,120","10,439",388,"4,269","1,293h"
165,FraGeM-,"18,465","16,077","2,076","1,420","48,902,768","8,029",184,"3,496","1,128h"
166,Labrlsh,"32,575","24,423","3,477","2,055","82,636,953","11,198",379,"5,532","1,769h"
167,xKlLLERMaN,"11,031","7,757","1,612",788,"22,929,945","3,432",406,"2,400",643h
168,yShmigol,"41,210","28,431","4,608","2,404","107,150,894","15,843",318,"7,012","2,229h"
169,ZirtWhite,"24,583","18,720","3,289","2,222","65,353,944","8,026","1,337","5,511","1,609h"
170,Guard095,"24,316","18,759","3,274",991,"66,296,528","9,881",292,"4,265","1,419h"
171,EviL_lEyeS,"6,028","4,313",869,278,"17,703,907","2,549",45,"1,157",389h
172,MaiN_KoMa_EU,"31,976","22,198","3,843","2,493","83,381,698","11,889",288,"6,336","1,819h"
173,PiromaniacS,"22,313","18,890","2,773","1,953","59,212,304","8,561",325,"4,726","1,397h"
174,RedEnd_GodxIII,"36,149","28,443","4,826","2,635","89,443,350","13,857",729,"7,461","2,337h"
175,kurokum_o,"37,740","33,176","4,567","3,586","109,278,956","16,613",466,"8,153","2,589h"
176,stopsign-killer,"72,975","42,099","9,839","3,635","162,032,041","26,779","1,684","13,474","3,832h"
177,Godzful-,"12,239","8,485","1,544",762,"30,189,316","4,543",97,"2,306",666h
178,ZMG-ONE,"44,246","33,210","5,340","3,178","114,238,143","18,211",727,"8,518","2,617h"
